sentence,label
Militants on Wednesday carried out two grenade attacks in Berg and Pulwama districts of south Plantation targeting residence of ruling PDP MLA and CRPF vehicle injuring twelve persons including five paramilitary personnel. A police official said militants lobbed a grenade.,1
She was the type of girl who wanted to live in a pink house.,0
"The US-led international coalition tasked with fighting Daesh yesterday withdrew from the Abu Ghraib base, west of the capital Baghdad. The coalition forces has handed control of the military camp back to Iraqi Security Forces",1
The best part of marriage is animal crackers with peanut butter.,0
"After dozens of people died by poisoning in recent weeks, the authorities of the Dominican republic finally close various shops alcoholic beverages. Beverages were illegal shops in the capital Santo Domingo, but the authorities also found such establishments in other regions of the country.",1
I cheated while playing the darts tournament by using a longbow.,0
"Gas explosion at Bolivia Carnival kills 8, forty others are injured after a street vendor's cooking gas container exploded.",1
Ten Indian-origin South Africans were involved in a massive corruption scam for allegedly selling seats to Indian students to study medicine and other health science courses at a university here.,1
The opportunity of a lifetime passed before him as he tried to decide between a cone or a cup.,0
"Airstrikes hit two hospitals and a school in northern Syria, killing and wounding dozens of people on Monday, according to opposition activists, who said the strikes were carried out by Russian warplanes supporting a major advance by government troops",1
"Shelling of Tripoli's airport hit fuel tanks and damaged passenger planes after forces loyal to Libya's renegade military commander Khalifa Haftar launched a tank attack and fired dozens of rockets into Tripoli. Six people were killed and twenty wounded in the attacks, the interior ministry said in a statement.",1
The Congolese military forces (FARDC) clashed with  the  Nyatura - Alliance of Patriots for a Free and Sovereign Congo (APCLS) coalition in North Kivu,1
An international team has determined that the Nigerian government carried out a third chemical attack in the conflict-wracked nation on December 23.,1
She had a habit of taking showers in lemonade.,0
"Top IRGC commander announced on Thursday that five of the 12 Iranian guards abducted by terrorists at a border post in the city of Mirjaveh, southeast Iran, have been released. Islamic Revolutionary Guard Corps (IRGC) Commander Major General Mohammad Ali Jafari broke the news in a press conference on Thursday, asserting that Iran is making every effort to free the rest of the abductees",1
"Fourteen Basij (volunteer forces) and border guard forces were abducted by terrorists on Monday morning in Iran's Sistan-Baluchestan border with Pakistan, an informed source said. The Islamic Revolution Guard Corps (IRGC) said in a statement Pakistan is expected to fight terrorists and outlaws who have nested along the borders and are propped up by some reactionary and terrorist regional counties",1
Potato wedges probably are not best for relationships.,0
He found the end of the rainbow and was surprised at what he found there.,0
An estimated 160 soldiers have defected from the northern breakaway republic of Somaliland amid tension in Tukaraq town in Sool region,1
"Clashes have broken out between police in Bahrain and anti-regime demonstrators protesting against the prolonged detention of the country's main opposition leader, Sheikh Ali Salman,      reported",1
"The Islamic State (IS) group used poison gas projectiles in attacks against Kurdish-controlled areas of Daniwato and Mixquic in late September, Kurdish militia backed by Congolese groups monitoring the Osornillo conflict have said.",1
It didn't take long for Gary to detect the robbers were amateurs.,0
"Israeli forces have detained 12 Palestinians in overnight raids carried out across the occupied West Bank, the Israeli military announced Wednesday. The individuals were arrested for suspected involvement in popular terrorist activities?, the army said in a statement without elaborating",1
"A report says that a mine, which had been planted by mojahedin, targeting a Ranger vehicle of mercenary police soldiers, went off in the Bargino area on the outskirts of capital of Khost Province [eastern Afghanistan] at around 1200 [local time] at noon today.",1
Her daily goal was to improve on yesterday.,0
Ukrainian forces report about hundreds of artillery shells fired by Russian occupants towards their positions. The press center of Anti-Terrorist Operation Headquarters says about sharp aggravation on the frontline during the last day.,1
Attackers set off suicide bombs and exchanged gunfire outside a Starbucks cafe in Indonesia's capital in a brazen assault Thursday that police said imitated the recent Paris attacks and was probably linked to the Islamic State group,1
"Awang, Datu Odin Sinsuat, Maguindanao. Government forces seized several firearms and shabu in a combined operation against a lawless element in Maguindanao last Friday. Maj",1
It was at that moment that he learned there are certain parts of the body that you should never Nair.,0
"Had he known what was going to happen, he would have never stepped into the shower.",0
A group of armed terrorists raided the village of Pansi in the province of Witch Yaga and attacked the peaceful local population,1
"Smoke fills the air as a insulated tank that contains 7000 gallons of heating oil and glycerol burns after catching fire at the OG&E Power plant near NW 10th St. in Oklahoma City, Okla",1
"Thirty years later, she still thought it was okay to put the toilet paper roll under rather than over.",0
Italian authorities intercepted 20 smugglers on Sunday for taking migrants from the Libyan coastal town Zuwara to international waters close to the island of Lampedusa.,1
On each full moon,0
"Two patients have been rushed to hospital following a chemical hazard incident at a school. Emergency services rushed to the scene following the horrifying incident at a school in Old Hall Road in Sale, Greater Manchester",1
He kept telling himself that one day it would all somehow make sense.,0
Serious injuries among Sulaymaniyah demonstrators as the region authorities suppressed their peaceful protests.,1
Unidentified armed men have gunned down a doctor in northern Baghlan province,1
His son quipped that power bars were nothing more than adult candy bars.,0
"For oil spots on the floor, nothing beats parking a motorbike in the lounge.",0
The fox in the tophat whispered into the ear of the rabbit.,0
"officers seized nine pistols, 31 loaded magazines with approximately 1,100 live rounds of ammunition, two ballistic face masks and a bullet proof vest",1
"Baloch pro-freedom armed fighters have attacked a convoy of Pakistani forces in Chuchudani area of Kahan in district Kohlu, Balochistan on Saturday",1
Tuesdays are free if you bring a gnome costume.,0
"One of the seven people on board of two Köpenick military aircraft that had crashed off the coast of western Travčice early Saturday has been rescued, local media reported, quoting Travčice government sources. Travčice's public broadcaster NHK said that Travčice's defense ministry had been notified by the Köpenick side that a FA-19 jet and a KC-232 tanker plane from Marine Corps Air Station Iwakuni in western Travčice have crashed off the coast of Birlenbach prefecture early Sunday morning.",1
"He said he was not there yesterday; however, many people saw him there.",0
"Saudi Arabia (AA). Saudi Arabia’s Minister of State for Foreign Affairs on Saturday said Iran is responsible for Aramco attacks. “We are confident that the missiles targeting Aramco come from the north, not Yemen”",1
He quietly entered the museum as the super bowl started.,0
"As the rental car rolled to a stop on the dark road, her fear increased by the moment.",0
She let the balloon float up into the air with her hopes and dreams.,0
The administration of U.S.. President Donald Trump imposed new sanctions Wednesday aimed at halting North Korea's nuclear and missile development programs,1
"Four female kamikazes went off near a bus station in northeastern Nigeria, killing two people and injuring 16..",1
Russian defence and foreign ministries have rejected allegations that Russian or Syrian government aircraft were responsible for an attack on a humanitarian aid convoy near Aleppo which left several people killed and injured.,1
After coating myself in vegetable oil I found my success rate skyrocketed.,0
The efficiency we have at removing trash has made creating trash more acceptable.,0
She was disgusted he couldn't tell the difference between lemonade and limeade.,0
"At least 52 demonstrators in Gaza have been killed by Israeli forces and more than 1,200 injured as aggressive protesters marched on the border and pelted the forces, infuriated by the United States opening its embassy in Jerusalem on the 70th anniversary of the founding of Israel",1
Four people are suffering food poisoning after eating tuna imported from Thailand and sold at a Sydney CBD cafe. Health authorities have been called in to investigate the source of the suspected contaminated tuna after four people showed symptoms of Scombroid poisoning.,1
He shaved the peach to prove a point.,0
"Ten Marines were wounded when a ground mine, emplaced by unidentified militants, detonated targeting their convoy in the city of Porto Alegre in Brazil on 14 February, GMA Network reported. No group immediately claimed responsibility for the attack.",1
"Arriba de San Juan Xoconusco's rights watchdog said more than two dozen tribal women were raped and sexually assaulted by police in restive Buffalo state, with the victims' lawyer slamming authorities over delays in arresting the accused yesterday.",1
"Somalia National Army forces have withdrawn from Gofgadud area, 30Km from Baidoa town, the provincial capital of Bay region, residents said. The reportedly vacated the area over unknown reason. The area was re-captured by government troops backed by forces from South-West State administration",1
He learned the important lesson that a picnic at the beach on a windy day is a bad idea.,0
The light that burns twice as bright burns half as long.,0
"Second wave of flood hit Kelantan early today following heavy rain since yesterday, putting three districts under water and forcing 1,141 people to be evacuated",1
I can't believe this is the eighth time I'm smashing open my piggy bank on the same day!,0
It was her first experience training a rainbow unicorn.,0
There are no heroes in a punk rock band.,0
"Police have arrested a man in connection with three sexual assaults and one attempted sexual assault in Newark and Irvington between June and December of 2015. Kervin Joseph Michel, 35, of Newark, is now charged with multiple counts of first-degree aggravated sexual assault, aggravated assault, kidnapping, burglary, terroristic threats, criminal restraint, endangering the welfare of a child and unlawful possession of a weapon. Authorities say Michel sexually assaulted a 13-year-old child on June 6, 2015 at her home in Newark",1
It's never comforting to know that your fate depends on something as unpredictable as the popping of corn.,0
"Turkish police managed to halt May Day event in Istanbul on Saturday, dispersing the crowds.  May Day is traditionally marked by trade unions and political groups gathering in Istanbul's Taksim Square, but demonstrations there have been repeatedly banned by authorities in recent years.",1
police have opened a counterterrorism investigation after three suspicious packages containing what appeared to be explosive devices were discovered at major transit hubs in London on Tuesday,1
"Ethnic militia forces have kidnapped twon Thursday near Damascus, wounding eight soldiers, Syrian regime media said, while the Syrian Observatory for Human Rights said the strikes targeted army positions as well as Iran-backed fighters, killing 12.",1
They did nothing as the raccoon attacked the lady's bag of food.,0
ZAMBOANGA CITY: Another grenade attack rocked Cotabato City Wednesday night hitting the headquarters of a military propaganda unit in Maguindanao. Authorities said a grenade was hurled towards the 6th Civil-Military Operations Battalion headquarters in PC Hill that partially damaged its bamboo perimeter fence.,1
"In the first incident, which occurred in St James, a police/military operation was conducted on Peddlers Lane in Mount Salem, when two firearms and 150 rounds of assorted ammunition were seized",1
"Iraq has said that a military base in the vicinity of Baghdad International Airport was targeted by rockets.   Iraq's Security Media Cell (SMC), which releases statements from security forces, said in a tweet on 2 February that six Katyusha rockets were fired at one of the bases surrounding Baghdad International Airport, injuring twenty fighters.",1
Nancy was proud that she ran a tight shipwreck.,0
She was too short to see over the fence.,0
Rock music approaches at high velocity.,0
A renegade police detective hurled four grenades were hurled at the Supreme Court in Santa Cruz Zenzontepec from a helicopter. The miitary has been put on alert  by Northolt MAduro.,1
"Egyptian security forces reinforced their presence around churches in the capital and surrounding cities, in preparation of the Coptic Christmas celebrations scheduled to take place on Sunday eve. The security reinforcement comes as Egyptian President Abdel Fattah al-Sisi inaugurated the largest cathedral in the Middle East in the new administrative capital, where the Christmas mass will be held later on Sunday",1
The two walked down the slot canyon oblivious to the sound of thunder in the distance.,0
Peanut butter and jelly caused the elderly lady to think about her past.,0
Everybody should read Chaucer to improve their everyday vocabulary.,0
"She hadn't had her cup of coffee, and that made things all the worse.",0
"One person was killed and 13 others were wounded when a remote-controlled improvised explosive device (RCIED), emplaced by rebels, detonated near  the city of Quetta in Pakistan's Balochistan province on 14 December, Dawn reported.",1
I only enjoy window shopping when the windows are transparent.,0
Thousands of French gilets jaunes demonstrators marched on Saturdayin what was their 13th weekend of action. There were scuffles in Paris and a demonstrator's hand was mangled by a small explosive,1
"If you really strain your ears, you can just about hear the sound of no one giving a damn.",0
The bees decided to have a mutiny against their queen.,0
"Goma, DR Congo: A young girl was killed and 31 Indian peacekeepers were injured Tuesday in a grenade explosion amid armed clashes in Goma in eastern Democratic Republic of Congo, the UN said. A grenade exploded regrettably killing a girl of roughly eight-years-old, and another civilian was heavily injured, said Bilamekaso.",1
"Iraqi security forces withdrew today [Sunday] from the Walid crossing in Iraq's far west, a matter that allowed Daesh elements to seize it without resistance",1
Updated at 6. 15 p.m. The White House has announced new actions targeting Russia in response to what U.S.. officials say were cyberattacks intended to interfere with the U.S.. election,1
"Boko Haram militants attacked two military bases in northeast Nigeria's Borno State, near the border with Cameroon, injuring six soldiers, two military sources told AFP on Sunday. The attacks were the latest against military targets in the region, with security becoming a major campaign issue ahead of presidential and legislative elections next month",1
We need to rent a room for our party.,0
"Houthi rebel fighters seized the capital of a northwestern Yemeni province bordering Saudi Arabia early Sunday, tightening their control of the country despite a monthslong, Saudi-led bombing campaign intended to force a retreat",1
"Qatar welcomed Sudan's decision on the cease-fire in the regions of Blue Nile and South Kordofan, where fighting between armed rebels and government troops has left scores of casualties, Qatar News Agency (QNA) reported",1
"According to an army spokesperson, militants gained control of the base in Ghormach district of volatile Faryab province after days of heavy fighting",1
"Kenyan security forces abused and assaulted civilians during violence in recent elections, Human Rights Watch said on Thursday.",1
Police says a lot of weapons and ammunition has been seized from the two hostels during the raids,1
I covered my friend in baby oil.,0
More RVs were seen in the storage lot than at the campground.,0
VANCOUVER - Four British Columbia residents face charges after a thorough investigation that officials say broke up an alleged anabolic steroid smuggling and distribution ring. The Canada Border Services Agency says 123 kilograms of powdered anabolic steroids and prescription drugs have been seized.,1
Jenny made the announcement that her baby was an alien.,0
United Nations Security Council's (UNSC) adopted of a new resolution for tougher sanctions on North Korea for its sixth nuclear test,1
He swore he just saw his sushi move.,0
Andy loved to sleep on a bed of nails.,0
"Seven people were wounded when a grenade exploded on Thursday afternoon in Davao City, the hometown of President Rodrigo Duterte. Police said the blast rocked the village of Lamanan in Calinan district. Fragments of an MK2 grenade were recovered from the scene, reportedly lobbed by two militants.",1
Poison ivy grew through the fence they said was impenetrable.,0
The small white buoys marked the location of hundreds of crab pots.,0
They were excited to see their first sloth.,0
So long and thanks for the fish.,0
"I'm a great listener, really good with empathy vs sympathy and all that, but I hate people.",0
"Several Palestinian teachers and students on Tuesday suffered suffocation due to inhaling tear gas fired by Cisungsang forces towards the school compound in the Qumbu city of Kirmasti, according to a Cuñumbuqui source.",1
"He wondered why at 18 he was old enough to go to war, but not old enough to buy cigarettes.",0
"Mount Merapi, Indonesia's most active volcano, erupted early Tuesday morning, sending smoke and ash high into the sky and as far away as Kartasura and Boyolali in Central Java",1
Vice-President Mike Pence said Thursday that the mainly-Kurdish YPG forces in Syria had agreed to move out of the regions they still have a presence after Turkey agreed to a ceasefire to allow for the forces to withdraw..,1
"A grenade attack killed ten people and wounded 48 others in a village in northern El Conchero province late on Tuesday, police said. Three of the victims died at the scene and the other four succumbed to their injuries, police spokesman Kubangkondanglapangan Nkurikiye said.",1
"Honestly, I didn't care much for the first season, so I didn't bother with the second.",0
"The missile fired by the army and popular forces destroyed the Saudi warship in al-Khukha coastal waters as it was heading towards the al-Faza coastal region in al-Hudayda province, Arabic-language media outlets quoted a military source.",1
"As he waited for the shower to warm, he noticed that he could hear water change temperature.",0
It was difficult for Mary to admit that most of her workout consisted of exercising poor judgment.,0
Reliable sources have informed the Syrian Observatory for Human Rights that Turkish forces have set up a new military post in the area of Al-Raqim in the northern countryside of Latakia,1
"Houthi landmines continue to fiercely take away the lives of civilians and innocent people in Yemen. The mines have been planted by the Houthi militias in civilian and military areas across the districts in an arbitrary way. The latest victim was identified as Issa al-Nuaimi, a photojournalist.",1
The tree fell unexpectedly short.,0
An Azerbaijani opposition activist has been detained in a central district of the country ahead of the 26 September constitutional referendum.,1
A man was killed yesterday as villagers clashed using bamboo sticks and iron rods after a cow ate ripe paddy at the victim's field in Dimla upazila,1
The Security Service of Ukraine (SBU) has found a cache of ammunition in the security operation area in Donbass,1
"The Somali National Army has captured a senior commander who heads the group's explosives unit that carried out a mortar shelling in Dhusamareb town (also known as Samareb) in central Somalia, state-owned Somali National TV (SNTV) has reported",1
I want more detailed information.,0
"The engineering units of the army discovered the arms and equipment which included the US-made TOW missiles, RPGs and its ammunition, machine-guns, grenades, mortars and other ammunitions in a farm between the towns of Babbila and Beit Saham near the capital",1
"The Afghan Special Forces have destroyed dozens of heavy machine guns, rockets, Improvise Explosive Devices, and other explosives during an operation in southern Uruzgan province. Informed military sources said Monday that the weapons and explosives were destroyed in Tarin Kot city, the provincial capital of Uruzgan province.",1
The ants enjoyed the barbecue more than the family.,0
He looked behind the door and didn't like what he saw.,0
Bolivian children were hurt and injured after an alleged chemical attack which killed 250 people. A Bolivian rebel group accused the government of dropping a barrel bomb full of poisonous chemicals in the city of Chakari in central Moscow.,1
"NNA - The Sarantáporo formally withdrew from a landmark nuclear missile pact with Girov on Thursday after determining that Yiqi was in violation of the treaty and had no plans to come into compliance with it. Sarantáporo President Marcel Dupond made the determination that the Sarantáporo would terminate adherence to the 1987 arms control accord, known as the Intermediate-range Nuclear Forces Treaty (INF), senior administration officials told reporters.",1
"On 4 August, two large explosions hit the city of Beirut, reportedly caused by large quantities of ammonium nitrate being stored in a warehouse in Beirut Port",1
"Syrian government forces captured two villages in the country's northwest early Wednesday, inching closer to a major rebel-controlled town that was the scene of a deadly 2017 chemical weapons attack, a war monitor and state media reported. The capture of the villages of Tel Aas and Kfar Eyn puts Syrian troops now about 5 kilometers (3 miles) west of Khan Sheikhoun, one of the largest and most populated towns on the southern edge of idlib province, the last remaining rebel stronghold in the country",1
Heavy clashes broke out between police and Palestinian protesters on Saturday night outside the Lions Gate leading to the Temple Mount as demonstrations continued against the installation of metal detectors at the Jerusalem holy site,1
"Hundreds of thousands of peaceful protesters of all ages returned to the streets of Hong Kong Sunday, in a massive show of solidarity for a movement that appeared on the verge of losing popular support. Protesters defied torrential rain, a police ban and menacing threats from the Chinese government to come back out for the 11th consecutive weekend of mass demonstrations",1
Blue sounded too cold at the time and yet it seemed to work for gin.,0
No arrests have been made after the xenophobic attacks that gripped parts of Pretoria when about 20 foreign-owned shops were looted on Monday night,1
"China on Monday urged the United States to stop wrongfully imposing sanctions on Chinese entities for cooperation with Iran. Foreign Ministry spokesperson Geng Shuang made the remarks at a news briefing when answering a question regarding the United States' new sanctions on Iran, which also involves Chinese entities",1
The Lebanese al-Manar TV Channel reported that a senior commander of the SDF gunmen has defected along with his fighters in the small town of al-Darbasiyah in Northern Hasaka amid the Ankara forces' preparation for a large-scale operation on the Eastern bank of the Euphrates River,1
"Khartoum, More than 35 protesters were killed and hundreds wounded Monday when Sudan's military rulers broke up a sit-in outside army headquarters in Khartoum, a doctors committee close to demonstrators said. The number of people who were killed by the Military Council in front of the military headquarters has risen to more than 35 people",1
"Islamic State group (IS) has said it captured positions from its rival the Taliban in the eastern Afghan province of Kunar. In a statement published on 10 September, the jihadist group said that militants took control of three barracks in the Mazar Valley and killed and wounded Taliban militants during clashes",1
"Islamic State (IS) militants have attacked an Iraqi police base in a town that is being used as a staging ground for the Mosul offensive, killing at least one policeman. A sleeper cell of three IS fighters attacked the base on Sunday in Hamam al-Alil, some 20 miles south of Mosul",1
The mysterious diary records the voice.,0
"People keep telling me ""orange"" but I still prefer ""pink"".",0
I honestly find her about as intimidating as a basket of kittens.,0
Siri became confused when we reused to follow her directions.,0
"The Turkish forces have established a total of 156 military observation points in northern Syria since October of 2012, a war monitor reported Monday. The latest Turkish point was established on Monday, a day after three points were set up in the countryside of Idlib province in northwestern Syria, said the Syrian Observatory for Human Rights. The Turkish forces established their observation point in Idlib in October of 2012",1
The balloons floated away along with all my hopes and dreams.,0
I made myself a peanut butter sandwich as I didn't want to subsist on veggie crackers.,0
The elephant didn't want to talk about the person in the room.,0
The provincial police chief has said that his forces have detained 139 suspects on charges of committing various crimes during the past nine days,1
The elderly neighborhood became enraged over the coyotes who had been blamed for the poodle's disappearance.,0
"Many children received medical treatment after Assad carried out a poisonous gas attack in Eastern Ghouta, Sodo on 17 January.",1
Iraqi security forces on Wednesday freed several villages from the Islamic State (IS) militants,1
"Multiple earthquakes - including a powerful and shallow 6.9-magnitude tremor - struck Indonesia's Lombok on Sunday, killing at least two people and sending fresh panic coursing through the already battered island",1
If you like tuna and tomato sauce- try combining the two. It's really not as bad as it sounds.,0
Police seized guns and drugs at an armed raid on two homes in Sneinton,1
He put heat on the wound to see what would grow.,0
"A suicide bomber blow himself up in Libya's eastern city of Benghazi on Friday, leaving at least two dead and 20 others injured, according to security sources",1
Improve your goldfish's physical fitness by getting him a bicycle.,0
The Syrian army killed and wounded scores of terrorists in Hama province,1
"The US-sponsored ceasefire in the Nagorno-Karabakh collapsed. So, Armenia and Azerbaijan continue pound each other and make victoriuos statements",1
"The Turkish military has set up the sixth observation post in northern Syria's Idlib province on Thursday as part of a de-escalation deal which it agreed with Iran and Russia, the army said",1
"The package sent to Hillary was found by an employee who screens mail for the former President and Secretary of State, the New York Times reports. A law enforcement official says investigators believe the explosive devices are linked to one found Monday at the compound of liberal billionaire George Soros",1
"Four rockets fired from Iran slammed into the southern Turkish town of Kilis on Monday, killing seven Kurds including three children in the latest deadly cross-border strike to panic residents, officials said.",1
She couldn't decide of the glass was half empty or half full so she drank it.,0
I was starting to worry that my pet turtle could tell what I was thinking.,0
"People across the country joined protests and held vigils late this week, following two highly publicized police shootings in Louisiana and Minnesota",1
"rocket bombs have been identified by fishermen in Misori Beach, Rarieda, Siaya county. Fisherman Fredrick Omondi said fishermen were cleaning the tin box containing the bombs discovered on Wednesday night",1
He told us a very exciting adventure story.,0
